,mutator,mutation step,percent preserved
185,SpanMutator,86,0.625
186,SpanMutator,87,0.625
187,SpanMutator,88,0.75
188,SpanMutator,89,0.75
189,SpanMutator,90,0.75
190,SpanMutator,91,0.75
191,SpanMutator,92,0.75
192,SpanMutator,93,0.75
193,SpanMutator,94,0.75
194,SpanMutator,95,0.75
195,SpanMutator,96,0.75
196,SpanMutator,97,0.75
197,SpanMutator,98,0.625
198,SpanMutator,99,0.625
199,SpanMutator,100,0.75
