,path,perplexity_mean,perplexity_std,grammar_errors_mean,grammar_errors_std,early_grammar_errors_mean,early_grammar_errors_std,skywork27B_quality_mean,skywork27B_quality_std,internlm_quality_mean,internlm_quality_std,watermark_scores_mean,watermark_scores_std
0,./data/WQE_adaptive_neo_delta1.5_alpha4/dev.csv,37.31090267499288,25.848095984094186,13.216666666666667,24.047334442414,2.4,3.1900268316176716,-6.226302083333334,1.90813867707763,0.5368626912434896,1.057077036238321,,
2,./data/WQE_unwatermarked/dev.csv,20.13094052694794,16.22880724103367,8.984962406015038,17.539991086348422,1.0827067669172932,1.5077834061053297,-5.1477766682330826,2.099950901674299,1.5303428477810739,0.7809542448756011,51.60824692338929,5.957990385248221
3,./data/WQE_adaptive_neo_delta0.5_nosecret/dev.csv,32.54512758255005,15.70120336380894,14.633333333333333,26.94247900882996,1.65,3.21450631473289,-6.506640625,2.6721331682346583,0.637750244140625,1.033515364874466,,
4,./data/WQE_adaptive_neo_delta1.5_alpha3/dev.csv,45.669198909048305,30.59950089385506,11.932203389830509,18.086825465133323,2.5762711864406778,2.7177792013441624,-6.407309322033898,2.6744525031234567,0.5621142629849709,0.8905231139497041,,
5,./data/WQE_adaptive_neo_delta0.5/dev.csv,44.26808260404147,24.366708951692637,12.523076923076923,20.525354101739364,2.4615384615384617,2.372823674113128,-6.176622596153846,1.9852709477484605,0.3530795904306265,1.0751211292274814,,
6,./data/WQE_adaptive_delta0.50_alpha3.0_nosecret/dev.csv,,,,,,,,,0.9086484747417902,0.979311782442111,,
7,./data/WQE_adaptive_delta1.00_alpha3.0_nosecret/dev.csv,,,,,,,,,0.4757282651703933,1.075087679461914,,
11,./data/WQE_adaptive_delta0.25_alpha4.0_nosecret/dev.csv,,,,,,,,,1.1976524353027345,0.7749255376621531,,
å13,./data/WQE_adaptive_neo/dev.csv,39.72695777994214,23.614622213630785,17.606060606060606,26.209594879586064,2.3484848484848486,2.220600456876846,-6.477391098484849,2.2487500125920943,0.15772594105113635,1.0895911872288122,94.45025805355043,3.3911596425247947
14,./data/WQE_adaptive_neo_delta1.0/dev.csv,45.541108461250936,22.936410058708255,15.571428571428571,28.450724471333288,2.293233082706767,2.3861403946833613,-6.611959586466165,2.3934450437002464,0.2513262777400196,1.1339139675072494,,
16,./data/WQE_adaptive_delta0.25_alpha4/dev.csv,,,,,,,,,0.6237244923909505,1.0332345215598737,,
