,path,perplexity_mean,perplexity_std,grammar_errors_mean,grammar_errors_std,early_grammar_errors_mean,early_grammar_errors_std,skywork27B_quality_mean,skywork27B_quality_std,internlm_quality_mean,internlm_quality_std,watermark_scores_mean,watermark_scores_std
0,./data/WQE_adaptive_neo_delta1.5_alpha4/dev.csv,37.31090267499288,25.848095984094186,13.216666666666667,24.047334442414,2.4,3.1900268316176716,-6.226302083333334,1.90813867707763,0.5368626912434896,1.057077036238321,,
1,./data/WQE_unigram/dev.csv,,,,,,,,,,,,
2,./data/WQE_unwatermarked/dev.csv,20.13094052694794,16.22880724103367,8.984962406015038,17.539991086348422,1.0827067669172932,1.5077834061053297,-5.1477766682330826,2.099950901674299,1.5303428477810739,0.7809542448756011,51.60824692338929,5.957990385248221
3,./data/WQE_adaptive_neo_delta0.5_nosecret/dev.csv,32.54512758255005,15.70120336380894,14.633333333333333,26.94247900882996,1.65,3.21450631473289,-6.506640625,2.6721331682346583,0.637750244140625,1.033515364874466,,
4,./data/WQE_adaptive_neo_delta1.5_alpha3/dev.csv,45.669198909048305,30.59950089385506,11.932203389830509,18.086825465133323,2.5762711864406778,2.7177792013441624,-6.407309322033898,2.6744525031234567,0.5621142629849709,0.8905231139497041,,
5,./data/WQE_adaptive_neo_delta0.5/dev.csv,44.26808260404147,24.366708951692637,12.523076923076923,20.525354101739364,2.4615384615384617,2.372823674113128,-6.176622596153846,1.9852709477484605,0.3530795904306265,1.0751211292274814,,
6,./data/WQE_adaptive_delta0.5_alpha4.0_nosecret/dev.csv,,,,,,,,,1.1976524353027345,0.7749255376621531,,
7,./data/WQE_umd/dev.csv,24.70122334114591,17.68490904830776,11.458646616541353,23.83450239075872,,,-5.60015272556391,2.2701210602174813,,,7.21314020469037,2.9531699575762236
8,./data/WQE_umd_new/dev.csv,14.979908453790765,9.145669812057813,10.614035087719298,22.842480520235583,,,-6.123132538377193,2.938301270371273,1.1913907235128838,0.9946038567773308,0.15296380991507147,1.4678562510975304
9,./data/WQE_semstamp/dev.csv,24.93467833377697,19.42966946413348,5.462962962962963,8.566862833170248,,,-5.970703125,2.5099205193188245,0.9914289403844763,0.8948783782097675,4.487853505872377,0.9709405602587217
10,./data/WQE_adaptive/dev.csv,40.78886306469257,24.599328892551025,14.015384615384615,19.29452853132911,,,-6.517788461538461,2.2902894336359867,,,99.39928146509024,0.5458459465573541
11,./data/WQE_adaptive_neo/dev.csv,39.72695777994214,23.614622213630785,17.606060606060606,26.209594879586064,2.3484848484848486,2.220600456876846,-6.477391098484849,2.2487500125920943,0.15772594105113635,1.0895911872288122,94.45025805355043,3.3911596425247947
12,./data/WQE_adaptive_neo_delta1.0/dev.csv,45.541108461250936,22.936410058708255,15.571428571428571,28.450724471333288,2.293233082706767,2.3861403946833613,-6.611959586466165,2.3934450437002464,0.2513262777400196,1.1339139675072494,,
13,./data/WQE/dev.csv,,,,,,,,,,,,
