mutator,step_num,domain,entropy,watermark_detected,watermark_score
DocumentMutator,136,Fashion ,high,False,-1
DocumentMutator,137,Fashion ,high,False,-1
DocumentMutator,138,Fashion ,high,False,-1
DocumentMutator,139,Fashion ,high,False,-1
DocumentMutator,140,Fashion ,high,False,-1
DocumentMutator,141,Fashion ,high,False,-1
DocumentMutator,142,Fashion ,high,False,-1
DocumentMutator,143,Fashion ,high,False,-1
DocumentMutator,144,Fashion ,high,False,-1
DocumentMutator,145,Fashion ,high,False,-1
DocumentMutator,146,Fashion ,high,False,-1
DocumentMutator,147,Fashion ,high,False,-1
DocumentMutator,148,Fashion ,high,False,-1
DocumentMutator,149,Fashion ,high,False,-1
DocumentMutator,150,Fashion ,high,False,-1
DocumentMutator,151,Fashion ,high,False,-1
DocumentMutator,152,Fashion ,high,False,-1
DocumentMutator,153,Fashion ,high,False,-1
DocumentMutator,154,Fashion ,high,False,-1
DocumentMutator,155,Fashion ,high,False,-1
DocumentMutator,156,Fashion ,high,False,-1
DocumentMutator,157,Fashion ,high,False,-1
DocumentMutator,158,Fashion ,high,False,-1
DocumentMutator,159,Fashion ,high,False,-1
DocumentMutator,160,Fashion ,high,False,-1
DocumentMutator,161,Fashion ,high,False,-1
DocumentMutator,162,Fashion ,high,False,-1
DocumentMutator,163,Fashion ,high,False,-1
DocumentMutator,164,Fashion ,high,False,-1
DocumentMutator,165,Fashion ,high,False,-1
DocumentMutator,166,Fashion ,high,False,-1
DocumentMutator,167,Fashion ,high,False,-1
DocumentMutator,168,Fashion ,high,False,-1
DocumentMutator,169,Fashion ,high,False,-1
DocumentMutator,170,Fashion ,high,False,-1
DocumentMutator,171,Fashion ,high,False,-1
DocumentMutator,172,Fashion ,high,False,-1
DocumentMutator,173,Fashion ,high,False,-1
DocumentMutator,174,Fashion ,high,False,-1
DocumentMutator,175,Fashion ,high,False,-1
DocumentMutator,176,Fashion ,high,False,-1
DocumentMutator,177,Fashion ,high,False,-1
DocumentMutator,178,Fashion ,high,False,-1
DocumentMutator,179,Fashion ,high,False,-1
DocumentMutator,180,Fashion ,high,False,-1
DocumentMutator,181,Fashion ,high,False,-1
DocumentMutator,182,Fashion ,high,False,-1
DocumentMutator,183,Fashion ,high,False,-1
DocumentMutator,184,Fashion ,high,False,-1
DocumentMutator,185,Fashion ,high,False,-1
DocumentMutator,186,Fashion ,high,False,-1
DocumentMutator,187,Fashion ,high,False,-1
DocumentMutator,188,Fashion ,high,False,-1
DocumentMutator,189,Fashion ,high,False,-1
DocumentMutator,190,Fashion ,high,False,-1
DocumentMutator,191,Fashion ,high,False,-1
DocumentMutator,192,Fashion ,high,False,-1
DocumentMutator,193,Fashion ,high,False,-1
DocumentMutator,194,Fashion ,high,False,-1
DocumentMutator,195,Fashion ,high,False,-1
DocumentMutator,196,Fashion ,high,False,-1
DocumentMutator,197,Fashion ,high,False,-1
DocumentMutator,198,Fashion ,high,False,-1
DocumentMutator,199,Fashion ,high,False,-1
