mutator,id,step_num,domain,entropy,watermark_detected,watermark_score
Document1StepMutator,2467656814,3,Cybersecurity ,high,1,1.543033499620919
Document1StepMutator,2467656814,4,Cybersecurity ,high,1,2.309401076758504
Document1StepMutator,2467656814,5,Cybersecurity ,high,1,0.6666666666666666
Document1StepMutator,2467656814,19,Cybersecurity ,high,0,2.263009527424072
Document1StepMutator,2467656814,39,Cybersecurity ,high,0,0.8703882797784892
Document1StepMutator,2467656814,59,Cybersecurity ,high,0,1.3333333333333333
Document1StepMutator,2467656814,79,Cybersecurity ,high,0,1.5666989036012806
Document1StepMutator,2467656814,99,Cybersecurity ,high,0,2.9593201512468634
Document1StepMutator,2467656814,119,Cybersecurity ,high,0,1.8257418583505536
Document1StepMutator,2467656814,139,Cybersecurity ,high,0,1.8257418583505536
Document1StepMutator,2467656814,159,Cybersecurity ,high,0,0.8703882797784892
Document1StepMutator,2467656814,179,Cybersecurity ,high,0,2.263009527424072
Document1StepMutator,2467656814,199,Cybersecurity ,high,0,1.5666989036012806
Document1StepMutator,2467656814,200,Cybersecurity ,high,0,2.263009527424072
Document1StepMutator,898333785,-1,Energy ,low,1,5.60448538317805
Document1StepMutator,898333785,0,Energy ,low,1,2.263009527424072
Document1StepMutator,898333785,1,Energy ,low,1,4.6291004988627575
Document1StepMutator,898333785,2,Energy ,low,1,3.042434922296656
Document1StepMutator,898333785,3,Energy ,low,1,3.682947537517004
Document1StepMutator,898333785,4,Energy ,low,1,0.6666666666666666
Document1StepMutator,898333785,59,Energy ,low,0,-0.9622504486493764
Document1StepMutator,898333785,79,Energy ,low,0,-0.1924500897298752
Document1StepMutator,898333785,119,Energy ,low,0,1.091089451179962
Document1StepMutator,898333785,139,Energy ,low,0,0.0
Document1StepMutator,898333785,159,Energy ,low,0,0.0
Document1StepMutator,898333785,179,Energy ,low,0,-0.6546536707079772
Document1StepMutator,898333785,199,Energy ,low,0,-0.1924500897298752
Document1StepMutator,898333785,200,Energy ,low,0,0.2182178902359924
Document1StepMutator,1366257021,-1,Entertainment ,mid,1,5.515634344499481
Document1StepMutator,1366257021,0,Entertainment ,mid,1,0.2182178902359924
Document1StepMutator,1366257021,14,Entertainment ,mid,0,-0.1400280084028009
Document1StepMutator,1366257021,16,Entertainment ,mid,1,0.0
Document1StepMutator,1366257021,17,Entertainment ,mid,1,0.0
Document1StepMutator,1366257021,19,Entertainment ,mid,0,0.0
Document1StepMutator,1366257021,24,Entertainment ,mid,1,0.0
Document1StepMutator,1366257021,39,Entertainment ,mid,0,0.0
Document1StepMutator,1366257021,59,Entertainment ,mid,0,-0.3086066999241838
Document1StepMutator,1366257021,79,Entertainment ,mid,0,-0.3086066999241838
Document1StepMutator,1366257021,99,Entertainment ,mid,0,-0.3086066999241838
Document1StepMutator,1366257021,108,Entertainment ,mid,0,-0.3086066999241838
Document1StepMutator,1416030202,-1,Technology ,high,1,5.477225575051661
Document1StepMutator,1416030202,0,Technology ,high,1,0.3086066999241838
Document1StepMutator,1416030202,16,Technology ,high,1,0.8703882797784892
Document1StepMutator,1416030202,19,Technology ,high,0,0.8703882797784892
Document1StepMutator,1416030202,39,Technology ,high,0,0.8703882797784892
Document1StepMutator,1416030202,46,Technology ,high,1,2.263009527424072
Document1StepMutator,1416030202,47,Technology ,high,0,-0.5222329678670935
Document1StepMutator,1416030202,59,Technology ,high,0,-0.5222329678670935
Document1StepMutator,1416030202,79,Technology ,high,0,-0.5222329678670935
Document1StepMutator,1416030202,96,Technology ,high,0,-0.5222329678670935
Document1StepMutator,2549952481,-1,Other ,high,1,5.477225575051661
Document1StepMutator,2549952481,0,Other ,high,1,0.1740776559556978
Document1StepMutator,2549952481,1,Other ,high,1,2.0
Document1StepMutator,2549952481,2,Other ,high,1,3.042434922296656
Document1StepMutator,2549952481,3,Other ,high,1,0.8703882797784892
